county_orig	count		county_clean	state	count		state	match	fipscode	error	err2	
MUSCOGEE(GA)	48		MUSCOGEE	GA	48		GA	MUSCOGEE-GA	13215	FALSE	0	
TUSCALOOSA(AL)	47		TUSCALOOSA	AL	47		AL	TUSCALOOSA-AL	01125	FALSE	0	
GWINNETT(GA)	46		GWINNETT	GA	46		GA	GWINNETT-GA	13135	FALSE	0	
CHRISTIAN(KY)	44		CHRISTIAN	KY	44		KY	CHRISTIAN-KY	21047	FALSE	0	
KENT(MI)	44		KENT	MI	44		MI	KENT-MI	26081	FALSE	0	
MADISON(TN)	44		MADISON	TN	44		TN	MADISON-TN	47113	FALSE	0	
TULSA(OK)	44		TULSA	OK	44		OK	TULSA-OK	40143	FALSE	0	
WINSTON(MS)	44		WINSTON	MS	44		MS	WINSTON-MS	28159	FALSE	0	
EL PASO(CO)	43		EL PASO	CO	43		CO	EL PASO-CO	08041	FALSE	0	
ETOWAH(AL)	43		ETOWAH	AL	43		AL	ETOWAH-AL	01055	FALSE	0	
GRANT(IN)	43		GRANT	IN	43		IN	GRANT-IN	18053	FALSE	0	
HARDIN(KY)	43		HARDIN	KY	43		KY	HARDIN-KY	21093	FALSE	0	
PALM BEACH(FL)	43		PALM BEACH	FL	43		FL	PALM BEACH-FL	12099	FALSE	0	
MADISON(IN)	42		MADISON	IN	42		IN	MADISON-IN	18095	FALSE	0	
ORANGE(FL)	42		ORANGE	FL	42		FL	ORANGE-FL	12095	FALSE	0	
SAINT FRANCIS(AR)	42		SAINT FRANCIS	AR	42		AR	SAINT FRANCIS-AR	05123	FALSE	0	
WARREN(MS)	42		WARREN	MS	42		MS	WARREN-MS	28149	FALSE	0	
NORFOLK CITY(VA)	41		NORFOLK CITY	VA	41		VA	NORFOLK CITY-VA	51710	FALSE	0	
RANDOLPH(IN)	41		RANDOLPH	IN	41		IN	RANDOLPH-IN	18135	FALSE	0	
MORGAN(AL)	40		MORGAN	AL	40		AL	MORGAN-AL	01103	FALSE	0	
OKTIBBEHA(MS)	40		OKTIBBEHA	MS	40		MS	OKTIBBEHA-MS	28105	FALSE	0	
ONSLOW(NC)	40		ONSLOW	NC	40		NC	ONSLOW-NC	37133	FALSE	0	
ORANGE(CA)	40		ORANGE	CA	40		CA	ORANGE-CA	06059	FALSE	0	
ASHLAND(OH)	39		ASHLAND	OH	39		OH	ASHLAND-OH	39005	FALSE	0	
BUTLER(OH)	39		BUTLER	OH	39		OH	BUTLER-OH	39017	FALSE	0	
DE KALB(IL)	39		DE KALB	IL	39		IL	DE KALB-IL	17037	FALSE	0	
MADISON(IL)	39		MADISON	IL	39		IL	MADISON-IL	17119	FALSE	0	
MARSHALL(AL)	39		MARSHALL	AL	39		AL	MARSHALL-AL	01095	FALSE	0	
MUHLENBERG(KY)	39		MUHLENBERG	KY	39		KY	MUHLENBERG-KY	21177	FALSE	0	
OAKLAND(MI)	39		OAKLAND	MI	39		MI	OAKLAND-MI	26125	FALSE	0	
CUYAHOGA(OH)	38		CUYAHOGA	OH	38		OH	CUYAHOGA-OH	39035	FALSE	0	
DAVIESS(KY)	38		DAVIESS	KY	38		KY	DAVIESS-KY	21059	FALSE	0	
FORREST(MS)	38		FORREST	MS	38		MS	FORREST-MS	28035	FALSE	0	
INGHAM(MI)	37		INGHAM	MI	37		MI	INGHAM-MI	26065	FALSE	0	
LA CROSSE(WI)	37		LA CROSSE	WI	37		WI	LA CROSSE-WI	55063	FALSE	0	
SHELBY(IN)	37		SHELBY	IN	37		IN	SHELBY-IN	18145	FALSE	0	
TAZEWELL(IL)	37		TAZEWELL	IL	37		IL	TAZEWELL-IL	17179	FALSE	0	
KING(WA)	36		KING	WA	36		WA	KING-WA	53033	FALSE	0	
KNOX(IL)	36		KNOX	IL	36		IL	KNOX-IL	17095	FALSE	0	
LIBERTY(GA)	36		LIBERTY	GA	36		GA	LIBERTY-GA	13179	FALSE	0	
MAHONING(OH)	36		MAHONING	OH	36		OH	MAHONING-OH	39099	FALSE	0	
MONTGOMERY(MS)	36		MONTGOMERY	MS	36		MS	MONTGOMERY-MS	28097	FALSE	0	
COPIAH(MS)	35		COPIAH	MS	35		MS	COPIAH-MS	28029	FALSE	0	
CRAIGHEAD(AR)	35		CRAIGHEAD	AR	35		AR	CRAIGHEAD-AR	05031	FALSE	0	
GENESEE(MI)	35		GENESEE	MI	35		MI	GENESEE-MI	26049	FALSE	0	
HARRISON(IN)	35		HARRISON	IN	35		IN	HARRISON-IN	18061	FALSE	0	
OUACHITA(LA)	35		OUACHITA	LA	35		LA	OUACHITA-LA	22073	FALSE	0	
WASHINGTON(WI)	35		WASHINGTON	WI	35		WI	WASHINGTON-WI	55131	FALSE	0	
